Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Thyroid Disorders,Disorder,fatigue; chills; fever; weight loss; malaise,No,,Endocrine disorders from various causes
Botulism,Disease,chills; fatigue; malaise; fever,No,,Vaccine development not prioritized
Clostridium difficile,Bacteria,muscle pain; malaise; fever,No,,Bacterial toxin-mediated disease
Hepatitis C,Disease,malaise; night sweats; weight loss,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Diphtheria,Disease,night sweats; fever; chills; weight loss; fatigue,Yes,Tdap Vaccine,
Polio,Disease,night sweats; fatigue; fever; malaise,Yes,Polio Vaccine,
Swine Flu,Disease,fatigue; fever; wheezing,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Schizophrenia,Disorder,malaise; chills; night sweats,No,,Severe mental health disorder
Plague,Disease,malaise; fever; fatigue,No,,Vaccine development not prioritized
Bronchitis,Disease,chills; fever; malaise; weight loss; fatigue; night sweats,No,,Vaccine development not prioritized
Adrenal Disorders,Disorder,night sweats; chills; weight loss; malaise,No,,Endocrine disorders
Francisella tularensis,Bacteria,night sweats; stiffness; weight loss,No,,Rare bacterial infection
Asthma,Disorder,fever; night sweats; chills; weight loss; fatigue; malaise,No,,"Allergic inflammatory condition, not infectious"
Typhoid,Disease,constipation; nausea; diarrhea; abdominal pain; vomiting; loss of appetite,Yes,Typhoid Vaccine,
Enterococcus faecalis,Bacteria,fatigue; chills; stiffness,No,,Common hospital-acquired infection
Epilepsy,Disorder,malaise; fever; night sweats; chills; fatigue,No,,Neurological disorder from various causes
Bacillus anthracis,Bacteria,swelling; joint pain; stiffness; weakness; back pain,Yes,Anthrax Vaccine,
Shingles,Disease,fever; night sweats; fatigue; weight loss; malaise; chills,No,,Vaccine development not prioritized
Japanese Encephalitis Virus,Virus,numbness; memory loss; seizures; weight loss; tingling; fever,No,,Vaccine development not prioritized
Rubella,Disease,night sweats; fatigue; malaise; weight loss,Yes,MMR Vaccine,
Attention Deficit Hyperactivity Disorder,Disorder,weight loss; fever; malaise; night sweats,No,,Vaccine development not prioritized
Typhoid,Disease,diarrhea; constipation; vomiting; bloating; abdominal pain,Yes,Typhoid Vaccine,
Japanese Encephalitis Virus,Virus,memory loss; dizziness; fatigue; numbness,No,,Vaccine development not prioritized
Herpes Simplex Virus,Virus,hair loss; itching; blisters; redness,No,,Vaccine development not prioritized
Bacillus anthracis,Bacteria,weight loss; night sweats; chills; fever; stiffness,Yes,Anthrax Vaccine,
Meningitis,Disease,fever; fatigue; malaise; chills; weight loss,Yes,Meningococcal Vaccine,
Ebola,Disease,night sweats; fever; chills; malaise; weight loss,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Mumps,Disease,weight loss; malaise; fatigue; fever; night sweats; chills,Yes,MMR Vaccine,
Meningitis,Disease,fever; chills; malaise; weight loss; fatigue; night sweats,Yes,Meningococcal Vaccine,
Bronchitis,Disease,chills; malaise; weight loss; fatigue; fever; night sweats,No,,Vaccine development not prioritized
Post-Traumatic Stress Disorder,Disorder,malaise; weight loss; night sweats; fever,No,,Vaccine development not prioritized
Mumps,Disease,fatigue; malaise; night sweats; fever; weight loss,Yes,MMR Vaccine,
Polio,Disease,malaise; weight loss; night sweats; chills; fever; fatigue,Yes,Polio Vaccine,
Human Immunodeficiency Virus,Virus,tingling; dizziness; confusion,No,,Vaccine development not prioritized
Coronavirus,Virus,fever; headache; dizziness; weight loss; fatigue,No,,Vaccine development not prioritized
Haemophilus influenzae,Bacteria,chills; swelling; weight loss,Yes,Hib Vaccine,
Chronic Obstructive Pulmonary Disease,Disorder,fever; night sweats; chills; weight loss,No,,Vaccine development not prioritized
Mycobacterium leprae,Bacteria,chills; night sweats; joint pain; malaise; back pain; swelling,No,,Limited global incidence
Marburg,Disease,fever; night sweats; malaise; fatigue; chills; weight loss,No,,Vaccine development not prioritized
Monkeypox,Disease,fever; fatigue; weight loss,No,,Vaccine development not prioritized
Legionella pneumophila,Bacteria,stiffness; joint pain; malaise; swelling; weakness,No,,Environmental bacterium with limited human cases
Bronchitis,Disease,malaise; fever; weight loss; night sweats; fatigue; chills,No,,Vaccine development not prioritized
Salmonella,Bacteria,muscle pain; fever; swelling,Limited,Typhoid Vaccine,Limited to specific serotypes
Enterococcus faecalis,Bacteria,chills; muscle pain; weight loss; stiffness,No,,Common hospital-acquired infection
Influenza,Disease,fatigue; cough; sore throat; chest pain; wheezing,Yes,Influenza Vaccine,
Lyme Disease,Disease,weight loss; fatigue; malaise; chills; fever; night sweats,No,,Previous vaccine withdrawn due to safety concerns and low demand
Tetanus,Disease,malaise; fatigue; fever; night sweats; chills,Yes,Tdap Vaccine,
Treponema pallidum,Bacteria,back pain; fever; chills; malaise,No,,Complex immune evasion mechanisms
Influenza Viruses,Virus,memory loss; fatigue; chills; fever; headache; fatigue,No,,Vaccine development not prioritized
Migraine,Disorder,malaise; weight loss; fatigue; chills; night sweats; fever,No,,Neurological headache disorder
Polio,Disease,malaise; fever; weight loss,Yes,Polio Vaccine,
Depression,Disorder,chills; night sweats; malaise,No,,Mental health condition with multiple causes
Depression,Disorder,chills; fever; malaise; fatigue; weight loss; night sweats,No,,Mental health condition with multiple causes
Enterococcus faecalis,Bacteria,weight loss; fatigue; muscle pain; malaise; weakness,No,,Common hospital-acquired infection
Cholera,Disease,vomiting; diarrhea; nausea; bloating; abdominal pain; constipation,Yes,Cholera Vaccine,
Polio,Disease,weight loss; fatigue; malaise; chills; fever; night sweats,Yes,Polio Vaccine,
Coronavirus,Virus,numbness; weight loss; dizziness,No,,Vaccine development not prioritized
Hypertension,Disorder,weight loss; malaise; fever; fatigue; night sweats,No,,"Lifestyle and genetic factors, not infectious"
Neisseria meningitidis,Bacteria,malaise; joint pain; fatigue; swelling; fever,Yes,Meningococcal Vaccine,
Escherichia coli,Bacteria,weight loss; joint pain; night sweats; chills; swelling,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Thyroid Disorders,Disorder,night sweats; malaise; fatigue; chills,No,,Endocrine disorders from various causes
Cholera,Disease,abdominal pain; nausea; loss of appetite,Yes,Cholera Vaccine,
Hepatitis Viruses,Virus,tingling; fatigue; dizziness; malaise,No,,Vaccine development not prioritized
Zika Virus,Disease,fatigue; malaise; chills; weight loss; fever; night sweats,No,,Ongoing research with no approved vaccine yet due to multiple strains
Rhinovirus,Virus,night sweats; dizziness; fever,No,,Over 100 serotypes make vaccine impractical
Smallpox,Disease,malaise; weight loss; night sweats; chills; fever,No,,Vaccine development not prioritized
Hepatitis C,Disease,chills; night sweats; malaise; fever,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Shigella,Bacteria,fever; joint pain; weakness; chills; stiffness,No,,Multiple serotypes and limited research
SARS,Disease,night sweats; fever; malaise,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Sleep Disorders,Disorder,night sweats; chills; fatigue,No,,Various causes including lifestyle and medical conditions
Streptococcus pneumoniae,Bacteria,runny nose; fatigue; cough; wheezing; fever,Yes,Pneumococcal Vaccine,
Rhinovirus,Virus,weight loss; confusion; seizures; fatigue,No,,Over 100 serotypes make vaccine impractical
Cholera,Disease,nausea; vomiting; constipation; bloating; abdominal pain,Yes,Cholera Vaccine,
Hepatitis A,Disease,malaise; night sweats; fever; chills,Yes,Hepatitis A Vaccine,
Shingles,Disease,night sweats; malaise; fatigue,No,,Vaccine development not prioritized
Hepatitis Viruses,Virus,seizures; dizziness; malaise; fever; tingling,No,,Vaccine development not prioritized
Neisseria gonorrhoeae,Bacteria,joint pain; chills; fever; weight loss; night sweats,No,,Rapid antibiotic resistance and immune evasion
Rotavirus,Virus,numbness; memory loss; headache,Yes,Rotavirus Vaccine,
Rubella,Disease,chills; night sweats; fatigue,Yes,MMR Vaccine,
Hepatitis C,Disease,fatigue; weight loss; chills; malaise; fever; night sweats,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Coronary Artery Disease,Disorder,malaise; chills; fever; night sweats; weight loss,No,,Cardiovascular disease from multiple risk factors
Mycobacterium leprae,Bacteria,malaise; swelling; joint pain; night sweats; fatigue; fever,No,,Limited global incidence
Anxiety,Disorder,malaise; fever; weight loss; chills; night sweats,No,,Mental health disorder
Encephalitis,Disease,malaise; fever; chills; weight loss; fatigue,No,,Vaccine development not prioritized
Cytomegalovirus,Virus,fever; numbness; headache; memory loss; night sweats; tingling,No,,Common virus with complex immune interactions
Parkinson's Disease,Disorder,fever; malaise; weight loss; chills; night sweats,No,,Progressive neurological disorder
Human Papillomavirus,Virus,hair loss; dry skin; blisters; rash; redness,Yes,HPV Vaccine,
Japanese Encephalitis Virus,Virus,confusion; fever; chills; numbness; seizures; memory loss,No,,Vaccine development not prioritized
Parainfluenza Virus,Virus,weight loss; memory loss; tingling; fatigue; confusion,No,,Vaccine development not prioritized
Shingles,Disease,fever; malaise; night sweats,No,,Vaccine development not prioritized
Enterococcus faecalis,Bacteria,stiffness; fever; night sweats; swelling; joint pain; muscle pain,No,,Common hospital-acquired infection
Acinetobacter baumannii,Bacteria,weakness; back pain; fever,No,,Hospital-acquired infection with multiple strains
Respiratory Syncytial Virus,Virus,chest pain; runny nose; shortness of breath; wheezing; sore throat; fever,No,,Previous vaccine trials showed safety concerns
Epilepsy,Disorder,malaise; weight loss; fatigue,No,,Neurological disorder from various causes
Dengue Virus,Virus,dizziness; night sweats; numbness; seizures,No,,Vaccine development not prioritized
Francisella tularensis,Bacteria,fatigue; fever; weakness,No,,Rare bacterial infection
MERS,Disease,fever; fatigue; chills; night sweats,No,,Limited outbreaks and research funding constraints
Hepatitis C,Disease,fatigue; weight loss; night sweats; chills; malaise; fever,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Dengue Virus,Virus,confusion; tingling; headache; fatigue; numbness,No,,Vaccine development not prioritized
Haemophilus influenzae,Bacteria,fatigue; muscle pain; chills; stiffness; night sweats; joint pain,Yes,Hib Vaccine,
Anxiety,Disorder,fatigue; fever; night sweats; chills; malaise,No,,Mental health disorder
West Nile Virus,Disease,malaise; chills; fatigue; fever,No,,Limited human cases and complex transmission cycle
Zika Virus,Virus,malaise; confusion; headache; fever; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Hepatitis Viruses,Virus,night sweats; headache; numbness; weight loss; tingling,No,,Vaccine development not prioritized
Neisseria gonorrhoeae,Bacteria,chills; swelling; stiffness; joint pain,No,,Rapid antibiotic resistance and immune evasion
Migraine,Disorder,night sweats; chills; fatigue; fever; weight loss; malaise,No,,Neurological headache disorder
Swine Flu,Disease,chest pain; fatigue; cough; wheezing,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Influenza Viruses,Virus,weight loss; chills; night sweats; fever; dizziness; memory loss,No,,Vaccine development not prioritized
Hepatitis A,Disease,chills; fatigue; malaise,Yes,Hepatitis A Vaccine,
Attention Deficit Hyperactivity Disorder,Disorder,night sweats; fever; weight loss,No,,Vaccine development not prioritized
Anthrax,Disease,malaise; weight loss; night sweats; fever; fatigue; chills,No,,Vaccine development not prioritized
Meningitis,Disease,fatigue; weight loss; fever; night sweats; chills; malaise,Yes,Meningococcal Vaccine,
Vibrio cholerae,Bacteria,swelling; back pain; fever; weight loss; weakness,Yes,Cholera Vaccine,
Klebsiella pneumoniae,Bacteria,fever; fatigue; chest pain; wheezing,No,,Antibiotic-resistant hospital pathogen
Parainfluenza Virus,Virus,confusion; malaise; fatigue; fever,No,,Vaccine development not prioritized
Rabies,Disease,malaise; night sweats; chills; weight loss; fatigue,Yes,Rabies Vaccine,
Norovirus,Virus,dizziness; fever; seizures; malaise,No,,Rapidly evolving virus with many strains
Stroke,Disorder,fatigue; night sweats; malaise; weight loss,No,,"Caused by various risk factors, not a single pathogen"
Hepatitis C,Disease,fatigue; night sweats; malaise,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Measles,Disease,night sweats; weight loss; malaise; chills; fatigue,Yes,MMR Vaccine,
Shigella,Bacteria,stiffness; weight loss; fever; chills; muscle pain,No,,Multiple serotypes and limited research
Haemophilus influenzae,Bacteria,weakness; joint pain; chills; malaise; night sweats,Yes,Hib Vaccine,
Influenza Viruses,Virus,malaise; confusion; dizziness,No,,Vaccine development not prioritized
Vibrio cholerae,Bacteria,fever; joint pain; chills,Yes,Cholera Vaccine,
Bipolar Disorder,Disorder,malaise; night sweats; chills; fatigue,No,,Mental health condition
Botulism,Disease,fever; weight loss; malaise,No,,Vaccine development not prioritized
Stroke,Disorder,night sweats; chills; fever; weight loss,No,,"Caused by various risk factors, not a single pathogen"
Pituitary Disorders,Disorder,fatigue; chills; malaise; fever,No,,Endocrine disorders
Depression,Disorder,fever; malaise; chills; night sweats,No,,Mental health condition with multiple causes
Botulism,Disease,malaise; chills; fever; weight loss; fatigue; night sweats,No,,Vaccine development not prioritized
COVID-19,Disease,chills; fever; night sweats; weight loss; fatigue; malaise,Yes,COVID-19 Vaccine,
Borrelia burgdorferi,Bacteria,weakness; weight loss; muscle pain; fever,No,,Previous vaccine withdrawn due to concerns
Plague,Disease,night sweats; chills; fever; weight loss; fatigue,No,,Vaccine development not prioritized
Encephalitis,Disease,fatigue; weight loss; chills,No,,Vaccine development not prioritized
Hepatitis C,Disease,weight loss; night sweats; fatigue; malaise,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
